,,КАЗАХСТАН,,г. Астана,,г. Алматы,,Абайская область,,Акмолинская область,,Актюбинская область,,Алматинская область,,Атырауская область,,Западно-Казахстанская область,,Жамбылская область,,Жетысуская область,,Карагандинская область,,Костанайская область,,Кызылординская область,,Мангистауская область,,Туркестанская область,,Улытауская область,,Павлодарская область,,Северо-Казахстанская область,,Востночно-Казахстанская область,,г. Шымкент,
"1. Скажите, пожалуйста, насколько Вы интересуетесь политикой?",Очень интересуюсь,115,"9,6%",5,"5,7%",15,"10,6%",4,"10,5%",6,"11,8%",1,"1,8%",11,"12,4%",2,"5,1%",3,"7,0%",9,"13,0%",6,"14,6%",7,"9,5%",5,"8,8%",0,"0,0%",3,"7,1%",11,"9,9%",1,"7,7%",6,"12,0%",6,"16,2%",7,"14,0%",7,"10,6%"
,"Скорее интересуюсь, чем нет",276,"23,0%",21,"24,1%",34,"23,9%",6,"15,8%",13,"25,5%",4,"7,3%",20,"22,5%",12,"30,8%",6,"14,0%",10,"14,5%",11,"26,8%",25,"33,8%",13,"22,8%",8,"17,4%",12,"28,6%",24,"21,6%",0,"0,0%",18,"36,0%",8,"21,6%",5,"10,0%",26,"39,4%"
,Не очень интересуюсь,602,"50,2%",42,"48,3%",69,"48,6%",18,"47,4%",25,"49,0%",32,"58,2%",48,"53,9%",15,"38,5%",20,"46,5%",36,"52,2%",18,"43,9%",37,"50,0%",29,"50,9%",34,"73,9%",22,"52,4%",56,"50,5%",10,"76,9%",15,"30,0%",19,"51,4%",29,"58,0%",28,"42,4%"
,Совсем не интересуюсь,204,"17,0%",18,"20,7%",24,"16,9%",10,"26,3%",7,"13,7%",18,"32,7%",10,"11,2%",10,"25,6%",13,"30,2%",14,"20,3%",5,"12,2%",5,"6,8%",10,"17,5%",4,"8,7%",5,"11,9%",20,"18,0%",2,"15,4%",11,"22,0%",4,"10,8%",9,"18,0%",5,"7,6%"
,Затрудняюсь ответить,3,",3%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,3%",0,"0,0%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,,КАЗАХСТАН,,г. Астана,,г. Алматы,,Абайская область,,Акмолинская область,,Актюбинская область,,Алматинская область,,Атырауская область,,Западно-Казахстанская область,,Жамбылская область,,Жетысуская область,,Карагандинская область,,Костанайская область,,Кызылординская область,,Мангистауская область,,Туркестанская область,,Улытауская область,,Павлодарская область,,Северо-Казахстанская область,,Востночно-Казахстанская область,,г. Шымкент,
2. Вы интересуетесь общественной жизнью Вашего села/города?,Очень интересуюсь,265,"22,1%",7,"8,0%",31,"21,8%",11,"28,9%",24,"47,1%",3,"5,5%",22,"24,7%",8,"20,5%",10,"23,3%",16,"23,2%",9,"22,0%",16,"21,6%",11,"19,3%",6,"13,0%",12,"28,6%",36,"32,4%",2,"15,4%",14,"28,0%",13,"35,1%",9,"18,0%",5,"7,6%"
,"Скорее интересуюсь, чем нет",397,"33,1%",32,"36,8%",47,"33,1%",13,"34,2%",12,"23,5%",11,"20,0%",30,"33,7%",11,"28,2%",14,"32,6%",25,"36,2%",11,"26,8%",27,"36,5%",15,"26,3%",13,"28,3%",15,"35,7%",35,"31,5%",5,"38,5%",17,"34,0%",11,"29,7%",15,"30,0%",38,"57,6%"
,Не очень интересуюсь,410,"34,2%",37,"42,5%",44,"31,0%",10,"26,3%",10,"19,6%",25,"45,5%",33,"37,1%",16,"41,0%",11,"25,6%",18,"26,1%",14,"34,1%",27,"36,5%",29,"50,9%",25,"54,3%",11,"26,2%",27,"24,3%",6,"46,2%",15,"30,0%",10,"27,0%",21,"42,0%",21,"31,8%"
,Совсем не интересуюсь,124,"10,3%",11,"12,6%",20,"14,1%",4,"10,5%",5,"9,8%",16,"29,1%",4,"4,5%",4,"10,3%",8,"18,6%",10,"14,5%",5,"12,2%",4,"5,4%",2,"3,5%",2,"4,3%",2,"4,8%",13,"11,7%",0,"0,0%",4,"8,0%",3,"8,1%",5,"10,0%",2,"3,0%"
